"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ADAMTS17" 0 0 2 2 5 1 0 1 0 0 1 0 1 2 1 0 0 2
"ADAMTS18" 1 6 7 2 0 0 1 2 1 1 0 1 1 2 8 1 3 3
"ADAMTS19" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADAMTS2" 16 15 18 23 22 16 24 20 21 24 23 20 14 18 23 12 13 9
"ADAMTS20" 0 1 0 2 1 0 1 2 1 1 4 1 2 3 1 0 0 1
"ADAMTS3" 0 0 3 4 1 0 1 0 0 0 0 0 2 6 3 8 2 4
"ADAMTS4" 353 442 440 584 604 648 469 430 513 394 472 506 321 295 366 476 512 558
"ADAMTS5" 9 15 9 22 26 10 5 6 8 15 19 11 16 22 15 25 27 29
"ADAMTS6" 2 4 8 9 6 11 5 5 0 0 6 0 1 4 4 11 9 5
"ADAMTS7" 2 3 7 9 3 7 1 1 4 5 1 2 3 3 6 1 3 3
"ADAMTS8" 13 15 13 4 9 13 42 21 28 21 25 27 37 53 55 13 21 22
"ADAMTS9" 411 525 578 165 172 198 56 44 56 53 62 64 166 192 197 158 152 162
"ADAMTSL1" 0 0 1 2 1 3 0 0 2 0 0 0 2 0 0 2 1 1
"ADAMTSL2" 2 4 6 6 5 3 4 3 2 1 1 1 1 2 5 1 3 3
"ADAMTSL2L" 82 80 77 215 200 227 33 16 34 16 21 34 13 21 22 21 43 43
"ADAMTSL3" 6 11 12 24 40 34 11 8 7 13 12 7 13 11 19 14 19 21
"ADAMTSL5" 1 1 4 1 4 3 0 0 0 0 0 0 0 0 1 0 0 0
"ADAP1" 14 24 16 14 25 15 20 12 16 8 17 14 24 11 28 17 15 29
"ADAP1L" 2 2 1 24 21 23 9 20 13 17 14 13 13 7 5 8 11 11
"ADAP2" 2 3 2 4 4 1 1 3 4 0 2 3 7 0 1 0 2 2
"ADAR" 4 1 1 4 7 15 3 4 2 0 1 3 1 2 1 0 5 3
"ADARB1" 2 3 12 2 10 11 0 2 3 0 1 1 1 0 3 2 7 6
"ADARB2" 0 1 2 2 1 0 0 0 0 0 0 0 3 2 7 3 1 4
"ADAT1" 0 4 2 5 3 2 2 2 1 0 0 1 0 1 1 1 2 1
"ADAT2" 0 1 0 0 0 0 0 1 1 0 1 2 0 0 2 1 0 0
"ADCK1" 15 45 31 37 28 42 40 24 27 39 36 33 31 70 30 37 23 43
"ADCK2" 0 4 1 1 3 5 3 8 8 4 2 3 6 1 4 3 0 3
"ADCK5" 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"ADCY1" 0 1 2 3 0 0 2 2 0 0 2 1 2 2 0 0 0 2
"ADCY10L1" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ADCY10L11" 2 0 0 97 89 102 5 3 3 2 3 4 3 8 8 27 42 32
"ADCY10L13" 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1
"ADCY10L4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADCY10L5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADCY10L6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADCY2" 2 2 2 7 2 5 1 0 2 0 0 0 6 8 18 14 8 9
"ADCY3" 181 294 185 117 145 191 219 151 253 207 219 267 125 158 156 152 144 120
"ADCY6" 101 203 126 113 133 118 116 175 125 106 135 120 120 116 175 123 104 117
"ADCY7" 10 17 8 13 15 17 14 19 15 12 12 17 13 3 10 7 6 8
"ADCY8" 0 1 0 1 1 1 0 0 0 0 0 2 1 0 0 1 0 0
"ADCY9" 12 4 15 5 5 4 8 11 8 9 8 10 14 18 8 9 16 4
"ADCYAP1" 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ADCYAP1R1" 0 1 7 2 0 5 0 0 0 0 0 0 4 1 3 1 1 1
"ADD1" 6 16 18 8 10 8 8 13 8 10 7 10 10 11 18 4 9 9
"ADD2" 11 7 6 12 12 10 7 5 8 3 3 5 12 11 13 16 13 15
"ADD3" 2 1 4 4 6 4 2 0 0 0 0 0 2 3 0 2 1 1
"ADGB" 0 0 1 7 1 1 0 0 0 0 0 0 0 1 1 1 1 1
"ADGRA1" 0 1 4 3 4 1 0 0 0 0 1 0 1 0 0 0 1 2
